id,coding,d2018,d2017,d2016,16-17,17-18
462,(株)エービーシー・マート【2670】,43386,41860,41514,0.83%,3.65%
829,日立キャピタル(株)【8586】,43160,44246,44891,-1.44%,-2.45%
530,(株)しまむら【8227】,42896,48794,39913,22.25%,-12.09%
360,(株)島津製作所【7701】,42822,37089,35701,3.89%,15.46%
197,(株)ＳＣＲＥＥＮホールディングス【7735】,42725,33731,23557,43.19%,26.66%
305,エア・ウォーター(株)【4088】,42398,41341,39524,4.60%,2.56%
74,(株)ＳＵＭＣＯ【3436】,42085,14046,29447,-52.30%,199.62%
500,アルフレッサ　ホールディングス(株)【2784】,41756,33228,45289,-26.63%,25.67%
814,(株)トクヤマ【4043】,41268,39720,23071,72.16%,3.90%
348,豊田合成(株)【7282】,41136,40675,42824,-5.02%,1.13%
214,(株)山口フィナンシャルグループ【8418】,40945,35984,36017,-0.09%,13.79%
147,(株)クレディセゾン【8253】,40771,31213,36593,-14.70%,30.62%
570,コカ・コーラ　ボトラーズジャパンホールディングス(株)【2579】,40579,21143,14262,48.25%,91.93%
853,(株)ツルハホールディングス【3391】,40236,37071,31342,18.28%,8.54%
308,(株)ダイフク【6383】,39924,23099,20878,10.64%,72.84%
48,中国電力(株)【9504】,39626,34520,50015,-30.98%,14.79%
194,ＮＴＮ(株)【6472】,39608,35622,47770,-25.43%,11.19%
815,(株)ポーラ・オルビスホールディングス【4927】,38881,26909,22511,19.54%,44.49%
390,日本ゼオン(株)【4205】,38881,30767,29856,3.05%,26.37%
157,(株)ヤマダ電機【9831】,38763,57895,58158,-0.45%,-33.05%
941,参天製薬(株)【4536】,38691,32479,80180,-59.49%,19.13%
569,(株)ＮＩＰＰＯ【1881】,38619,44121,40785,8.18%,-12.47%
362,(株)きんでん【1944】,38618,36062,33450,7.81%,7.09%
184,京王電鉄(株)【9008】,38537,37976,37758,0.58%,1.48%
470,(株)イズミ【8273】,38487,35670,31912,11.78%,7.90%
394,(株)スクウェア・エニックス・ホールディングス【9684】,38176,31295,26018,20.28%,21.99%
192,(株)アマダホールディングス【6113】,37965,33030,42526,-22.33%,14.94%
1428,(株)オープンハウス【3288】,37617,31320,21300,47.04%,20.11%
335,大正製薬ホールディングス(株)【4581】,36977,31966,28878,10.69%,15.68%
297,(株)カネカ【4118】,36888,33164,38220,-13.23%,11.23%
717,キッコーマン(株)【2801】,36502,32842,32598,0.75%,11.14%
501,トレンドマイクロ(株)【4704】,36441,34360,30976,10.92%,6.06%
267,大同特殊鋼(株)【5471】,36218,25513,24432,4.42%,41.96%
1464,(株)サンドラッグ【9989】,36080,34055,33025,3.12%,5.95%
486,(株)ユー・エス・エス【4732】,36071,32396,34491,-6.07%,11.34%
527,パーソルホールディングス(株)【2181】,36068,33409,28052,19.10%,7.96%
951,ホシザキ(株)【6465】,36065,34575,31719,9.00%,4.31%
372,関西ペイント(株)【4613】,35802,35310,34772,1.55%,1.39%
658,安藤ハザマ【1719】,35714,37018,25456,45.42%,-3.52%
78,ヤマトホールディングス(株)【9064】,35685,34885,68540,-49.10%,2.29%
533,ニッパツ【5991】,35541,40613,35041,15.90%,-12.49%
345,前田建設工業(株)【1824】,35386,23103,18703,23.53%,53.17%
442,(株)アルバック【6728】,35351,29468,17864,64.96%,19.96%
169,(株)高島屋【8233】,35318,34000,32972,3.12%,3.88%
280,(株)丸井グループ【8252】,35243,31253,29615,5.53%,12.77%
485,日産化学(株)【4021】,34988,31438,28606,9.90%,11.29%
654,(株)ミスミグループ本社【9962】,34848,27127,25690,5.59%,28.46%
213,(株)西日本フィナンシャルホールディングス【7189】,34809,31966,,#DIV/0!,8.89%
659,(株)九電工【1959】,34726,30732,25197,21.97%,13.00%
436,ＳＣＳＫ(株)【9719】,34602,33714,31785,6.07%,2.63%
93,日本板硝子(株)【5202】,34398,32783,-15780,307.75%,4.93%
1216,ガンホー・オンライン・エンターテイメント(株)【3765】,34384,46081,72425,-36.37%,-25.38%
201,(株)フジクラ【5803】,34343,34230,32632,4.90%,0.33%
374,日清食品ホールディングス(株)【2897】,34112,28618,26399,8.41%,19.20%
153,南海電気鉄道(株)【9044】,33971,31840,32318,-1.48%,6.69%
96,北海道電力(株)【9509】,33726,27443,43100,-36.33%,22.89%
269,デンカ(株)【4061】,33652,25844,30634,-15.64%,30.21%
423,(株)マツモトキヨシホールディングス【3088】,33565,28431,27418,3.69%,18.06%
1091,リンナイ(株)【5947】,32849,34056,34593,-1.55%,-3.54%
808,ＴＩＳ(株)【3626】,32743,27019,24436,10.57%,21.19%
237,横河電機(株)【6841】,32696,31608,39642,-20.27%,3.44%
2393,(株)ＺＯＺＯ【3092】,32669,26284,17756,48.03%,24.29%
427,伊藤忠テクノソリューションズ(株)【4739】,32622,31129,27942,11.41%,4.80%
764,芙蓉総合リース(株)【8424】,32609,28634,24420,17.26%,13.88%
481,(株)オービック【4684】,32325,27850,26108,6.67%,16.07%
669,日鉄住金物産(株)【9810】,32314,30832,27885,10.57%,4.81%
306,日本電気硝子(株)【5214】,32201,19571,22034,-11.18%,64.53%
734,東洋製罐グループホールディングス(株)【5901】,31870,36184,32347,11.86%,-11.92%
343,山九(株)【9065】,31581,27086,24317,11.39%,16.60%
278,(株)九州フィナンシャルグループ【7180】,31522,27115,29408,-7.80%,16.25%
205,京阪ホールディングス(株)【9045】,31458,32343,31524,2.60%,-2.74%
256,相鉄ホールディングス(株)【9003】,31266,30510,31129,-1.99%,2.48%
392,キユーピー(株)【2809】,31261,29818,26441,12.77%,4.84%
275,ＤＯＷＡホールディングス(株)【5714】,30948,33990,35067,-3.07%,-8.95%
999,(株)ニフコ【7988】,30900,29813,27574,8.12%,3.65%
412,(株)東海理化【6995】,30871,30522,34608,-11.81%,1.14%
542,(株)ケーズホールディングス【8282】,30764,25613,21744,17.79%,20.11%
691,三井住友建設(株)【1821】,30584,27941,23364,19.59%,9.46%
410,戸田建設(株)【1860】,30463,24998,21629,15.58%,21.86%
152,キヤノンマーケティングジャパン(株)【8060】,30406,27676,26647,3.86%,9.86%
809,コムシスホールディングス(株)【1721】,30347,25036,23849,4.98%,21.21%
1006,(株)サイバーエージェント【4751】,30163,30700,36790,-16.55%,-1.75%
490,ＡＬＳＯＫ【2331】,30111,28422,29036,-2.11%,5.94%
60,(株)オリエントコーポレーション【8585】,30088,33515,29486,13.66%,-10.23%
740,山崎製パン(株)【2212】,30087,35169,27001,30.25%,-14.45%
272,京成電鉄(株)【9009】,30085,30048,28234,6.42%,0.12%
327,(株)ニチレイ【2871】,29897,29309,21583,35.80%,2.01%
225,日本軽金属ホールディングス(株)【5703】,29893,30225,26821,12.69%,-1.10%
2212,エムスリー(株)【2413】,29713,25050,20022,25.11%,18.61%
218,ＮＴＴ都市開発(株)【8933】,29635,31393,37771,-16.89%,-5.60%
220,カシオ計算機(株)【6952】,29568,30636,42169,-27.35%,-3.49%
235,京浜急行電鉄(株)【9006】,29474,37761,14809,154.99%,-21.95%
817,ナブテスコ(株)【6268】,29468,23471,15294,53.47%,25.55%
206,ＤＭＧ森精機(株)【6141】,29391,1961,31140,-93.70%,1398.78%
286,ＴＨＫ(株)【6481】,29279,24653,23169,6.41%,18.76%
536,(株)日立物流【9086】,29266,28207,28334,-0.45%,3.75%
65,四国電力(株)【9507】,29265,20009,24702,-19.00%,46.26%
780,(株)関電工【1942】,29261,26397,16416,60.80%,10.85%
202,(株)ＵＡＣＪ【5741】,29205,25869,15212,70.06%,12.90%
971,ウエルシアホールディングス(株)【3141】,28826,24078,18759,28.35%,19.72%
855,ヒロセ電機(株)【6806】,28649,28482,28794,-1.08%,0.59%
260,三和ホールディングス(株)【5929】,28322,26440,26870,-1.60%,7.12%
1038,(株)ケーヒン【7251】,28313,22954,16440,39.62%,23.35%
1555,(株)すかいらーくホールディングス【3197】,28103,31249,27806,12.38%,-10.07%
538,ユニー・ファミリーマートホールディングス(株)【8028】,27974,32764,48734,-32.77%,-14.62%
240,セイノーホールディングス(株)【9076】,27879,27116,26186,3.55%,2.81%
332,スルガ銀行(株)【8358】,27825,68991,63845,8.06%,-59.67%
67,日本郵船(株)【9101】,27824,-18078,48964,-136.92%,253.91%
325,五洋建設(株)【1893】,27617,24274,20617,17.74%,13.77%
770,(株)ディー・エヌ・エー【2432】,27503,23178,19816,16.97%,18.66%
395,科研製薬(株)【4521】,27496,30707,35146,-12.63%,-10.46%
287,ライオン(株)【4912】,27206,24502,16374,49.64%,11.04%
529,(株)日清製粉グループ本社【2002】,27200,25511,23769,7.33%,6.62%
454,岩谷産業(株)【8088】,27193,25038,20496,22.16%,8.61%
135,ニプロ(株)【8086】,27088,28770,24204,18.86%,-5.85%
407,(株)ビックカメラ【3048】,27055,21854,22006,-0.69%,23.80%
689,(株)堀場製作所【6856】,26834,18499,19372,-4.51%,45.06%
688,カルビー(株)【2229】,26828,28841,28125,2.55%,-6.98%
376,(株)日本触媒【4114】,26727,21151,31234,-32.28%,26.36%
484,東洋水産(株)【2875】,26652,29486,28314,4.14%,-9.61%
909,久光製薬(株)【4530】,26345,26306,27730,-5.14%,0.15%
228,阪和興業(株)【8078】,26217,23426,18178,28.87%,11.91%
349,兼松(株)【8020】,26160,22633,18772,20.57%,15.58%
796,ユニプレス(株)【5949】,26047,23025,22033,4.50%,13.12%
521,日油(株)【4403】,25816,24336,19365,25.67%,6.08%
1046,(株)協和エクシオ【1951】,25621,20873,18412,13.37%,22.75%
657,(株)ショーワ【7274】,25296,-3263,7568,-143.12%,875.24%
64,(株)フジ・メディア・ホールディングス【4676】,25258,22319,24394,-8.51%,13.17%
123,ＬＩＮＥ(株)【3938】,25078,19896,-9524,308.90%,26.05%
302,シチズン時計(株)【7762】,24920,21501,30467,-29.43%,15.90%
567,スギホールディングス(株)【7649】,24760,22832,23112,-1.21%,8.44%
253,東芝テック(株)【6588】,24546,14649,1601,814.99%,67.56%
456,マルハニチロ(株)【1333】,24497,26308,16972,55.01%,-6.88%
304,(株)アドバンテスト【6857】,24487,13905,12597,10.38%,76.10%
208,(株)三越伊勢丹ホールディングス【3099】,24413,23935,33107,-27.70%,2.00%
842,長瀬産業(株)【8012】,24118,15030,18024,-16.61%,60.47%
445,マブチモーター(株)【6592】,24066,24225,22961,5.50%,-0.66%
765,アズビル(株)【6845】,24026,20145,17135,17.57%,19.27%
296,東邦ガス(株)【9533】,23984,23188,60725,-61.81%,3.43%
204,東洋紡(株)【3101】,23923,23332,23123,0.90%,2.53%
920,(株)エクセディ【7278】,23808,22083,21305,3.65%,7.81%
1176,東プレ(株)【5975】,23738,20431,18150,12.57%,16.19%
243,(株)京都銀行【8369】,23687,24313,31837,-23.63%,-2.57%
319,日本水産(株)【1332】,23489,22646,19442,16.48%,3.72%
477,前田道路(株)【1883】,23402,26649,28809,-7.50%,-12.18%
330,(株)熊谷組【1861】,23041,25135,24540,2.42%,-8.33%
312,(株)上組【9364】,22980,22550,22010,2.45%,1.91%
