id,coding,industry,d2018,d2017,d2016
246,住友大阪セメント(株)【5232】,18990,21530,23614,ガラス・土石製品
247,(株)大京【8840】,20174,20523,18318,不動産業
248,沢井製薬(株)【4555】,22209,20633,23185,医薬品
249,いすゞ自動車(株)【7202】,166765,146444,171559,輸送用機器
250,富士フイルムホールディングス(株)【4901】,130679,172281,180626,化学
251,ケネディクス(株)【4321】,12285,9530,10119,サービス業
252,コスモエネルギーホールディングス(株)【5021】,111868,92182,-29742,石油・石炭製品
253,東芝テック(株)【6588】,24546,14649,1601,電気機器
254,大王製紙(株)【3880】,11062,23535,24323,パルプ・紙
255,横浜ゴム(株)【5101】,54224,42317,54536,ゴム製品
256,相鉄ホールディングス(株)【9003】,31266,30510,31129,陸運業
257,アルプス電気(株)【6770】,71907,44373,52327,電気機器
258,テルモ(株)【4543】,108552,76578,81703,精密機器
259,(株)東和銀行【8558】,‥,‥,‥,銀行業
260,三和ホールディングス(株)【5929】,28322,26440,26870,金属製品
261,(株)南都銀行【8367】,11593,15596,17053,銀行業
262,(株)小森コーポレーション【6349】,3732,1712,6612,機械
263,日本アセットマーケティング(株)【8922】,7536,7382,,不動産業
264,コニカミノルタ(株)【4902】,53844,50135,60069,電気機器
265,大陽日酸(株)【4091】,59862,53664,43362,化学
266,(株)百十四銀行【8386】,‥,‥,‥,銀行業
267,大同特殊鋼(株)【5471】,36218,25513,24432,鉄鋼
268,住友ベークライト(株)【4203】,18598,16879,10241,化学
269,デンカ(株)【4061】,33652,25844,30634,化学
270,(株)みちのく銀行【8350】,‥,‥,‥,銀行業
271,(株)十六銀行【8356】,8035,8578,24010,銀行業
272,京成電鉄(株)【9009】,30085,30048,28234,陸運業
273,そーせいグループ(株)【4565】,-2291,12389,1075,医薬品
274,(株)テレビ朝日ホールディングス【9409】,18634,17278,16570,情報・通信
275,ＤＯＷＡホールディングス(株)【5714】,30948,33990,35067,非鉄金属
276,日本ハム(株)【2282】,49218,53802,46340,食料品
277,(株)ダイセル【4202】,58932,64306,64349,化学
278,(株)九州フィナンシャルグループ【7180】,31522,27115,29408,銀行業
279,東海東京フィナンシャル・ホールディングス(株)【8616】,17446,9497,12643,証券業
280,(株)丸井グループ【8252】,35243,31253,29615,小売業
281,(株)シマノ【7309】,64351,64546,85053,輸送用機器
282,ＴＯＴＯ(株)【5332】,52602,48571,46137,ガラス・土石製品
283,浜松ホトニクス(株)【6965】,27263,22849,20544,電気機器
284,合同製鐵(株)【5410】,1766,2336,4349,鉄鋼
285,(株)メルカリ【4385】,-4422,-2775,-42,情報・通信
286,ＴＨＫ(株)【6481】,29279,24653,23169,機械
287,ライオン(株)【4912】,27206,24502,16374,化学
288,(株)パルコ【8251】,11713,12812,12772,小売業
289,東京センチュリー(株)【8439】,73744,71999,65904,その他金融業
290,昭和シェル石油(株)【5002】,78477,46410,-12209,石油・石炭製品
291,(株)オートバックスセブン【9832】,7284,5829,6701,卸売業
292,(株)ジャフコ【8595】,14252,12324,19226,証券業
293,(株)カプコン【9697】,16037,13650,12029,情報・通信
294,三菱ＵＦＪリース(株)【8593】,79285,79112,88272,その他金融業
295,(株)滋賀銀行【8366】,15973,17998,18253,銀行業
296,東邦ガス(株)【9533】,23984,23188,60725,電気・ガス業
297,(株)カネカ【4118】,36888,33164,38220,化学
298,(株)ジーエス・ユアサ　コーポレーション【6674】,21920,23106,21909,電気機器
299,松竹(株)【9601】,6463,7540,7409,情報・通信
300,三菱製紙(株)【3864】,1790,4313,3872,パルプ・紙
301,住友林業(株)【1911】,53021,53989,30093,建設業
302,シチズン時計(株)【7762】,24920,21501,30467,精密機器
303,ＴＤＫ(株)【6762】,85633,208660,93414,電気機器
304,(株)アドバンテスト【6857】,24487,13905,12597,電気機器
305,エア・ウォーター(株)【4088】,42398,41341,39524,化学
306,日本電気硝子(株)【5214】,32201,19571,22034,ガラス・土石製品
307,Ｊ．フロント　リテイリング(株)【3086】,49546,44580,48038,小売業
308,(株)ダイフク【6383】,39924,23099,20878,機械
309,(株)中京銀行【8530】,‥,‥,‥,銀行業
310,東洋インキＳＣホールディングス(株)【4634】,16823,19222,18470,化学
311,アツギ(株)【3529】,849,1040,867,繊維製品
312,(株)上組【9364】,22980,22550,22010,倉庫・運輸関連業
