industry,name,d2018,d2017,d2016
鉄鋼,大同特殊鋼(株)【5471】,24768,33815,36218
化学,住友ベークライト(株)【4203】,10285,13587,18598
化学,デンカ(株)【4061】,31587,34228,33652
銀行業,(株)みちのく銀行【8350】,‥,‥,‥
銀行業,(株)十六銀行【8356】,22746,16395,8035
陸運業,京成電鉄(株)【9009】,28320,31608,30085
情報・通信,(株)テレビ朝日ホールディングス【9409】,12565,16164,18634
パルプ・紙,三菱製紙(株)【3864】,1976,-40,1790
非鉄金属,ＤＯＷＡホールディングス(株)【5714】,25955,18671,30948
食料品,日本ハム(株)【2282】,28302,31483,49218
化学,(株)ダイセル【4202】,29644,51171,58932
銀行業,(株)九州フィナンシャルグループ【7180】,35122,35137,31522
証券業,東海東京フィナンシャル・ホールディングス(株)【8616】,-823,-391,17446
小売業,(株)丸井グループ【8252】,41944,41184,35243
輸送用機器,(株)シマノ【7309】,68010,65687,64351
ガラス・土石製品,ＴＯＴＯ(株)【5332】,36760,40167,52602
電気機器,浜松ホトニクス(株)【6965】,25403,27263,22849
鉄鋼,合同製鐵(株)【5410】,9125,4342,1766
機械,ＴＨＫ(株)【6481】,18277,49832,29279
化学,ライオン(株)【4912】,29832,34196,27206
卸売業,(株)オートバックスセブン【9832】,7585,7478,7284
電気機器,太陽誘電(株)【6976】,37176,35237,20221
証券業,(株)ジャフコ【8595】,14970,12239,14252
情報・通信,(株)カプコン【9697】,22827,18144,16037
その他金融業,三菱ＵＦＪリース(株)【8593】,91853,80371,79285
銀行業,(株)滋賀銀行【8366】,13672,13773,15973
電気・ガス業,東邦ガス(株)【9533】,21351,17831,23984
化学,(株)カネカ【4118】,26014,36041,36888
電気機器,(株)ジーエス・ユアサ　コーポレーション【6674】,21676,22654,21920
情報・通信,松竹(株)【9601】,4604,4565,6463
建設業,住友林業(株)【1911】,51377,49247,53021
精密機器,シチズン時計(株)【7762】,6136,22411,24920
電気機器,ＴＤＫ(株)【6762】,97870,107823,85633
電気機器,(株)アドバンテスト【6857】,58708,64662,24487
ガラス・土石製品,日本電気硝子(株)【5214】,15937,24865,32201
小売業,Ｊ．フロント　リテイリング(株)【3086】,40286,40891,49546
機械,(株)ダイフク【6383】,40497,54681,39924
銀行業,(株)中京銀行【8530】,‥,‥,‥
化学,東洋インキＳＣホールディングス(株)【4634】,13174,15276,16774
電気機器,ＦＤＫ(株)【6955】,841,823,666
繊維製品,アツギ(株)【3529】,-461,-903,849
倉庫・運輸関連業,(株)上組【9364】,24679,23332,22980
電気機器,船井電機(株)【6839】,-1732,682,-10885
鉄鋼,(株)栗本鐵工所【5602】,4340,3003,3409
食料品,(株)ヤクルト本社【2267】,45675,45846,43463
パルプ・紙,レンゴー(株)【3941】,41227,25292,17082
鉄鋼,東京製鐵(株)【5423】,,,
機械,住友重機械工業(株)【6302】,56821,75244,69921
銀行業,(株)セブン銀行【8410】,‥,‥,‥
水産・農林業,日本水産(株)【1332】,22834,21685,23489
電気機器,(株)キーエンス【6861】,277631,317868,292890
電気機器,(株)安川電機【6506】,22339,49766,54126
電気機器,スタンレー電気(株)【6923】,24833,53927,53169
建設業,五洋建設(株)【1893】,33161,29232,27617
食料品,(株)ニチレイ【2871】,31035,29511,29897
陸運業,福山通運(株)【9075】,20541,19478,14726
医薬品,(株)ツムラ【4540】,18876,18520,17050
機械,三井海洋開発(株)【6269】,-4841,14928,11448
建設業,(株)熊谷組【1861】,25440,26464,23041
繊維製品,(株)オンワードホールディングス【8016】,-3061,4461,5167
銀行業,スルガ銀行(株)【8358】,36015,30156,27825
食料品,伊藤ハム米久ホールディングス(株)【2296】,17266,14494,21562
食料品,明治ホールディングス(株)【2269】,102708,98383,94673
医薬品,大正製薬ホールディングス(株)【4581】,21460,31211,36977
銀行業,(株)第四北越フィナンシャルグループ【7327】,19100,17802,
機械,セガサミーホールディングス(株)【6460】,27643,13079,17720
銀行業,(株)関西みらいフィナンシャルグループ【7321】,‥,‥,‥
情報・通信,(株)ＡＣＣＥＳＳ【4813】,387,534,413
化学,日本曹達(株)【4041】,8135,7906,6390
サービス業,トランスコスモス(株)【9715】,10689,5355,6092
建設業,大東建託(株)【1878】,127956,127047,126369
サービス業,エムスリー(株)【2413】,34337,30800,29713
陸運業,山九(株)【9065】,40374,39247,31581
その他製品,ヤマハ(株)【7951】,43333,56030,48833
建設業,前田建設工業(株)【1824】,34045,35944,35386
非鉄金属,古河機械金属(株)【5715】,8693,8915,7820
輸送用機器,豊田合成(株)【7282】,17888,36525,41136
卸売業,兼松(株)【8020】,28352,30349,26160
輸送用機器,ＫＹＢ(株)【7242】,-40298,-28496,20885
電気機器,日清紡ホールディングス(株)【3105】,6482,-2505,15085
銀行業,(株)東京きらぼしフィナンシャルグループ【7173】,‥,‥,‥
銀行業,(株)栃木銀行【8550】,‥,‥,‥
サービス業,(株)ベルシステム２４ホールディングス【6183】,11105,8580,9319
小売業,(株)ゼンショーホールディングス【7550】,20918,18834,17611
不動産業,いちご(株)【2337】,27721,26279,20858
小売業,ラオックス(株)【8202】,-3103,-943,138
化学,日東電工(株)【6988】,69733,92777,125722
精密機器,ＣＹＢＥＲＤＹＮＥ(株)【7779】,-1039,-830,-659
医薬品,協和キリン(株)【4151】,44770,74193,55974
銀行業,(株)北國銀行【8363】,16508,15216,17053
精密機器,(株)島津製作所【7701】,41845,44480,42822
陸運業,センコーグループホールディングス(株)【9069】,20656,19631,17087
建設業,(株)きんでん【1944】,45026,40354,38618
その他製品,タカラスタンダード(株)【7981】,12631,11801,12341
鉄鋼,日立金属(株)【5486】,-39126,42442,46326
情報・通信,富士ソフト(株)【9749】,13266,11400,9707
陸運業,西日本鉄道(株)【9031】,16411,20173,20430
その他製品,ミズノ(株)【8022】,6263,7623,8043
その他金融業,みずほリース(株)【8425】,26275,22913,19162
繊維製品,グンゼ(株)【3002】,6746,6690,6239
小売業,(株)コジマ【7513】,,,
小売業,(株)ビックカメラ【3048】,22943,27055,21854
化学,関西ペイント(株)【4613】,31510,32306,35802
情報・通信,(株)インターネットイニシアティブ【3774】,8225,6022,6762
サービス業,(株)アウトソーシング【2427】,15501,15073,11360
食料品,日清食品ホールディングス(株)【2897】,41252,28967,34112
銀行業,(株)名古屋銀行【8522】,9927,6795,8832
化学,(株)日本触媒【4114】,13178,26170,26727
サービス業,(株)ラウンドワン【4680】,8880,11443,10537
鉄鋼,愛知製鋼(株)【5482】,13901,11119,11813
銀行業,(株)四国銀行【8387】,‥,‥,‥
銀行業,トモニホールディングス(株)【8600】,‥,‥,‥
情報・通信,日本オラクル(株)【4716】,,,
銀行業,(株)七十七銀行【8341】,19412,17958,17330
小売業,(株)ＬＩＸＩＬビバ【3564】,,,10717
石油・石炭製品,富士石油(株)【5017】,-28668,4876,11188
医薬品,キッセイ薬品工業(株)【4547】,1857,6202,9887
鉄鋼,日本冶金工業(株)【5480】,7838,9443,4168
電気機器,新光電気工業(株)【6967】,3227,4848,4899
非鉄金属,昭和電線ホールディングス(株)【5805】,8609,6640,6276
化学,日本ゼオン(株)【4205】,26104,33147,38881
小売業,日本マクドナルドホールディングス(株)【2702】,28018,25045,18912
食料品,キユーピー(株)【2809】,32048,33067,31261
情報・通信,(株)スクウェア・エニックス・ホールディングス【9684】,32759,24531,38176
その他製品,(株)アシックス【7936】,10634,10515,19571
医薬品,科研製薬(株)【4521】,26512,24592,27496
機械,(株)マキタ【6586】,64046,78305,79762
建設業,日揮ホールディングス(株)【1963】,20234,23249,21495
銀行業,(株)東邦銀行【8346】,11517,9361,10779
建設業,西松建設(株)【1820】,25313,24928,22752
銀行業,(株)阿波銀行【8388】,16447,15596,19124
化学,ＪＳＲ(株)【4185】,32884,43030,43569
医薬品,日医工(株)【4541】,2873,8223,10301
機械,井関農機(株)【6310】,2745,3179,3953
輸送用機器,ＮＯＫ(株)【7240】,12028,23140,44934
小売業,(株)ＡＯＫＩホールディングス【8214】,6649,13382,14864
その他製品,リンテック(株)【7966】,15440,17977,20095
鉄鋼,(株)淀川製鋼所【5451】,5489,5879,10856
小売業,(株)パン・パシフィック・インターナショナルホールディングス【7532】,75997,63110,51568
建設業,戸田建設(株)【1860】,35243,34518,30463
化学,(株)ＡＤＥＫＡ【4401】,22517,26638,21335
輸送用機器,(株)東海理化【6995】,22597,29618,30871
銀行業,(株)沖縄銀行【8397】,9252,9698,8469
電気機器,双葉電子工業(株)【6986】,-3698,323,726
医薬品,大日本住友製薬(株)【4506】,83239,57884,88173
卸売業,(株)メディパルホールディングス【7459】,53109,49827,44260
倉庫・運輸関連業,三菱倉庫(株)【9301】,12195,12660,12421
電気機器,日本ＣＭＫ(株)【6958】,1601,3767,4266
電気機器,ルネサスエレクトロニクス(株)【6723】,6845,68196,78400
卸売業,ナイス(株)【8089】,1203,1456,102
小売業,(株)マツモトキヨシホールディングス【3088】,37563,36028,33565
繊維製品,クラボウ【3106】,4541,5640,6875
小売業,(株)アインホールディングス【9627】,16068,16067,19622
化学,堺化学工業(株)【4078】,4015,4404,4690
情報・通信,伊藤忠テクノソリューションズ(株)【4739】,41667,35898,32622
食料品,森永乳業(株)【2264】,25359,22331,21684
卸売業,ダイワボウホールディングス(株)【3107】,32841,22709,14305
電気機器,日本ケミコン(株)【6997】,-2891,5137,5818
不動産業,平和不動産(株)【8803】,10903,9335,9432
銀行業,(株)愛媛銀行【8541】,‥,‥,‥
医薬品,塩野義製薬(株)【4507】,125231,138537,115219
機械,(株)キッツ【6498】,6950,11713,10117
小売業,(株)アークス【9948】,12119,14821,14440
小売業,アスクル(株)【2678】,8821,4520,4192
情報・通信,ＳＣＳＫ(株)【9719】,42326,38378,34602
機械,(株)牧野フライス製作所【6135】,3514,20671,15023
輸送用機器,トピー工業(株)【7231】,2851,7505,7997
銀行業,(株)伊予銀行【8385】,‥,‥,‥
電気機器,サンケン電気(株)【6707】,4309,10531,12026
化学,東亞合成(株)【4045】,13782,16408,17453
電気機器,(株)アルバック【6728】,15958,23828,35351
機械,(株)ディスコ【6146】,36451,38645,50995
機械,(株)ソディック【6143】,3422,9888,7490
銀行業,(株)山陰合同銀行【8381】,‥,‥,‥
電気機器,マブチモーター(株)【6592】,17544,21243,24066
卸売業,ユアサ商事(株)【8074】,11871,12517,11402
電気・ガス業,西部ガス(株)【9536】,7562,10095,10700
情報・通信,(株)ＫＡＤＯＫＡＷＡ【9468】,8087,2707,3144
ガラス・土石製品,東海カーボン(株)【5301】,54344,75284,11486
小売業,(株)ココカラファイン【3098】,13336,12915,13712
金属製品,(株)ノーリツ【5943】,2693,4809,6708
卸売業,岩谷産業(株)【8088】,28728,26456,27193
不動産業,パーク２４(株)【4666】,22322,22539,20505
情報・通信,(株)野村総合研究所【4307】,83178,71442,65138
鉄鋼,(株)中山製鋼所【5408】,4524,5733,6384
水産・農林業,マルハニチロ(株)【1333】,17079,21758,24497
食料品,雪印メグミルク(株)【2270】,17998,17230,19363
銀行業,(株)百五銀行【8368】,16555,15347,11356
保険業,ソニーフィナンシャルホールディングス(株)【8729】,‥,‥,‥
食料品,カゴメ(株)【2811】,14079,12000,11968
小売業,(株)エービーシー・マート【2670】,43374,43929,43386
輸送用機器,曙ブレーキ工業(株)【7238】,3707,215,8143
食料品,(株)伊藤園【2593】,19940,22819,22043
卸売業,伊藤忠エネクス(株)【8133】,19257,17851,17153
建設業,(株)奥村組【1833】,11516,13716,15853
機械,(株)日本製鋼所【5631】,18709,24290,21318
ガラス・土石製品,日東紡【3110】,8160,8198,10837
小売業,(株)イズミ【8273】,31888,35273,38487
銀行業,(株)大分銀行【8392】,‥,‥,‥
サービス業,リゾートトラスト(株)【4681】,11652,18877,17742
銀行業,(株)青森銀行【8342】,‥,‥,‥
電気機器,ウシオ電機(株)【6925】,6659,8517,10151
銀行業,(株)高知銀行【8416】,‥,‥,‥
小売業,(株)フジ【8278】,6496,7167,7238
建設業,前田道路(株)【1883】,19575,17122,23402
電気機器,(株)大真空【6962】,277,47,300
化学,天馬(株)【7958】,3065,2348,2032
電気機器,ブラザー工業(株)【6448】,67329,71925,68672
情報・通信,ＲＩＺＡＰグループ(株)【2928】,-752,-9388,13590
電気機器,(株)オービック【4684】,43238,37939,32325
建設業,アンリツ(株)【6754】,17413,11246,4912
食料品,東亜建設工業(株)【1885】,7957,3980,2879
化学,東洋水産(株)【2875】,28348,23661,26652
